id,name,stations,seats
38,Α' Αθηνών,885,14
39,Β' Αθηνών,2438,44
40,Α' Πειραιώς,357,6
41,Β' Πειραιώς,464,8
42,Αττικής,789,15
30,Αιτωλοακαρνανίας,525,7
44,Αργολίδος,203,3
45,Αρκαδίας,345,3
19,Αρτας,203,3
31,Αχαίας,571,8
36,Βοιωτίας,210,3
17,Γρεβενών,123,1
4,Δράμας,222,3
52,Δωδεκανήσου,332,5
1,Εβρου,336,4
37,Ευβοιας,418,6
34,Ευρυτανίας,126,1
29,Ζακύνθου,100,1
32,Ηλείας,396,5
12,Ημαθίας,252,4
55,Ηρακλείου,501,8
20,Θεσπρωτίας,161,2
6,Α' Θεσσαλονίκης,815,16
7,Β' Θεσσαλονίκης,492,9
18,Ιωαννίνων,471,5
5,Καβάλας,276,4
25,Καρδίτσας,294,4
16,Καστοριάς,133,2
26,Κέρκυρας,227,3
28,Κεφαλληνίας,125,1
10,Κιλκίς,218,3
15,Κοζάνης,350,5
43,Κορινθίας,301,4
51,Κυκλάδων,256,4
47,Λακωνίας,286,3
22,Λάρισας,481,8
56,Λασιθίου,166,2
48,Λέσβου,254,3
27,Λευκάδας,74,1
23,Μαγνησίας,321,6
46,Μεσσηνίας,477,5
3,Ξάνθης,219,3
11,Πέλλας,279,4
13,Πιερίας,237,4
21,Πρέβεζας,169,2
54,Ρεθύμνης,201,2
2,Ροδόπης,261,3
50,Σάμου,110,1
8,Σερρών,447,6
24,Τρικάλων,323,4
33,Φθιώτιδας,344,5
14,Φλώρινας,177,2
35,Φωκίδας,132,1
9,Χαλκιδικής,197,3
53,Χανίων,304,4
49,Χίου,139,2
