unit_id,party_id,votes
105,4,78155
105,2,77162
105,41,17158
105,3,14410
105,75,14187
105,105,11595
105,100,8845
105,15,8395
105,57,8358
105,104,2775
105,76,1996
105,42,1527
105,60,1234
105,103,755
105,98,504
105,12,274
105,92,238
105,998,100
105,11,97
105,66,57
102,2,8649
102,4,7429
102,75,1946
102,105,1253
102,3,1240
102,41,1096
102,57,916
102,15,907
102,100,837
102,104,307
102,76,244
102,60,152
102,42,144
102,103,79
102,98,60
102,12,26
102,92,19
102,66,7
102,11,6
102,998,0
108,2,10647
108,4,9900
108,75,2583
108,3,1587
108,105,1566
108,41,1526
108,57,1178
108,15,1093
108,100,918
108,104,345
108,76,310
108,60,255
108,42,168
108,103,112
108,98,71
108,12,33
108,11,12
108,66,6
108,92,3
108,998,0
110,2,5050
110,4,3843
110,75,1275
110,105,678
110,3,668
110,41,569
110,15,460
110,100,418
110,57,407
110,104,197
110,60,128
110,76,107
110,42,58
110,103,41
110,98,27
110,12,15
110,92,4
110,11,2
110,66,1
110,998,0
119,4,8033
119,2,5556
119,3,1624
119,75,1246
119,41,1196
119,105,1084
119,57,872
119,15,858
119,100,718
119,104,313
119,76,234
119,60,137
119,42,117
119,103,81
119,98,59
119,12,29
119,92,27
119,11,8
119,66,6
119,998,0
115,2,2248
115,75,284
115,4,276
115,57,86
115,15,78
115,105,71
115,41,64
115,3,37
115,100,34
115,60,24
115,104,8
115,42,6
115,103,5
115,98,3
115,66,1
115,76,1
115,11,0
115,12,0
115,92,0
115,998,0
124,2,11898
124,4,5240
124,75,2120
124,41,1009
124,105,849
124,3,847
124,57,759
124,15,720
124,100,512
124,76,184
124,60,152
124,104,148
124,42,81
124,103,76
124,98,35
124,12,22
124,92,17
124,66,7
124,11,2
124,998,0
129,2,2728
129,4,2317
129,75,534
129,105,406
129,3,330
129,57,274
129,41,267
129,15,241
129,100,184
129,76,74
129,104,65
129,60,44
129,42,35
129,103,25
129,12,14
129,98,9
129,92,4
129,66,1
129,11,0
129,998,0
125,4,1608
125,2,1089
125,3,303
125,75,257
125,41,249
125,105,239
125,15,164
125,57,153
125,100,132
125,104,45
125,76,36
125,42,24
125,60,21
125,98,15
125,103,8
125,12,4
125,92,2
125,11,1
125,66,0
125,998,0
141,2,3219
141,4,3206
141,75,827
141,105,562
141,3,536
141,15,403
141,41,394
141,57,345
141,100,270
141,104,120
141,60,76
141,76,73
141,42,60
141,103,46
141,98,24
141,12,6
141,92,4
141,66,3
141,11,2
141,998,0
127,4,5020
127,2,2672
127,3,919
127,41,870
127,57,572
127,105,542
127,15,510
127,75,508
127,100,384
127,104,158
127,76,132
127,42,104
127,60,59
127,98,43
127,103,43
127,12,19
127,92,6
127,11,3
127,66,3
127,998,3
130,4,12027
130,2,5754
130,3,2814
130,41,1718
130,105,1543
130,75,1197
130,57,1019
130,15,1010
130,100,989
130,104,409
130,76,337
130,60,155
130,42,139
130,98,89
130,103,66
130,12,50
130,92,30
130,11,10
130,66,10
130,998,0
137,2,4617
137,4,1689
137,75,1009
137,41,563
137,57,423
137,15,332
137,105,260
137,3,176
137,100,171
137,76,86
137,104,84
137,60,77
137,42,41
137,103,27
137,98,15
137,12,5
137,11,3
137,66,2
137,92,0
137,998,0
147,2,5372
147,4,4879
147,75,1205
147,3,853
147,105,777
147,41,713
147,57,644
147,15,584
147,100,509
147,104,203
147,76,184
147,42,104
147,60,91
147,103,68
147,98,34
147,12,28
147,66,7
147,11,5
147,92,1
147,998,0
126,2,3185
126,4,3145
126,75,716
126,3,582
126,105,492
126,41,447
126,57,389
126,100,344
126,15,307
126,76,105
126,104,97
126,60,69
126,42,51
126,98,33
126,103,26
126,12,10
126,92,5
126,11,3
126,66,1
126,998,0
131,2,1245
131,4,1036
131,75,293
131,105,165
131,3,162
131,41,162
131,15,137
131,57,115
131,100,113
131,76,63
131,104,40
131,42,30
131,60,24
131,103,9
131,12,8
131,98,7
131,66,4
131,92,1
131,11,0
131,998,0
138,2,1281
138,4,720
138,75,280
138,41,184
138,105,127
138,57,106
138,3,99
138,15,97
138,100,85
138,42,31
138,60,29
138,76,22
138,104,18
138,103,13
138,98,11
138,11,1
138,92,1
138,12,0
138,66,0
138,998,0
135,2,2433
135,4,1594
135,75,493
135,41,274
135,105,242
135,3,241
135,57,228
135,100,190
135,15,183
135,104,64
135,76,56
135,42,36
135,60,36
135,103,15
135,98,12
135,12,4
135,92,3
135,11,2
135,66,2
135,998,0
144,2,3004
144,4,549
144,75,545
144,105,123
144,15,116
144,41,100
144,57,85
144,100,75
144,3,66
144,104,28
144,60,21
144,76,20
144,98,5
144,103,5
144,42,3
144,66,3
144,11,2
144,12,2
144,92,0
144,998,0
148,2,4055
148,4,874
148,75,749
148,41,206
148,15,155
148,105,147
148,3,135
148,100,113
148,57,107
148,104,47
148,60,36
148,76,32
148,42,13
148,103,7
148,98,5
148,11,3
148,66,3
148,12,1
148,92,1
148,998,0
146,2,10536
146,4,10057
146,75,2496
146,3,1658
146,105,1536
146,41,1368
146,15,1196
146,57,1155
146,100,1064
146,104,360
146,76,254
146,60,222
146,42,136
146,103,104
146,98,65
146,12,34
146,92,16
146,11,10
146,66,10
146,998,0
101,4,5543
101,2,2164
101,3,1013
101,41,934
101,105,621
101,57,530
101,75,492
101,15,427
101,100,420
101,76,117
101,104,112
101,42,74
101,60,69
101,98,42
101,103,32
101,12,28
101,92,17
101,11,5
101,66,4
101,998,0
104,4,6128
104,2,3441
104,3,1299
104,41,1014
104,105,719
104,57,663
104,75,606
104,100,506
104,15,492
104,104,230
104,76,190
104,42,88
104,60,78
104,98,56
104,103,42
104,12,30
104,92,9
104,11,7
104,66,1
104,998,0
123,4,4393
123,2,2009
123,3,970
123,41,894
123,105,541
123,57,526
123,100,331
123,15,328
123,75,321
123,76,123
123,104,122
123,42,73
123,60,47
123,103,44
123,98,37
123,12,18
123,66,5
123,11,4
123,92,4
123,998,0
106,4,14601
106,2,6390
106,3,2739
106,41,2430
106,105,1625
106,57,1525
106,15,1267
106,100,1138
106,75,1115
106,104,383
106,76,372
106,42,194
106,60,142
106,103,108
106,98,99
106,12,71
106,92,54
106,66,17
106,11,13
106,998,0
120,4,13654
120,2,6425
120,3,2477
120,41,2285
120,105,1416
120,57,1394
120,15,1156
120,75,1101
120,100,1031
120,76,395
120,104,389
120,42,179
120,60,134
120,103,95
120,98,84
120,12,52
120,92,47
120,66,7
120,11,6
120,998,0
139,4,27085
139,2,12319
139,3,5621
139,41,4475
139,105,2718
139,57,2681
139,15,2260
139,75,2188
139,100,2095
139,104,956
139,76,552
139,42,297
139,60,279
139,98,221
139,103,165
139,12,119
139,92,90
139,11,20
139,66,12
139,998,1
140,4,9187
140,2,4755
140,3,2379
140,41,1528
140,57,1056
140,105,1049
140,75,967
140,15,927
140,100,909
140,104,337
140,76,259
140,42,179
140,60,120
140,98,90
140,103,67
140,12,54
140,92,47
140,11,8
140,66,4
140,998,0
145,4,7993
145,2,4756
145,3,1816
145,41,1445
145,57,1077
145,105,954
145,75,845
145,100,781
145,15,760
145,104,317
145,76,183
145,42,139
145,60,121
145,103,80
145,98,65
145,12,31
145,92,26
145,11,6
145,66,4
145,998,0
111,4,9728
111,2,6097
111,3,2149
111,41,1420
111,105,1266
111,75,1240
111,57,1007
111,15,902
111,100,864
111,104,405
111,76,258
111,42,120
111,60,116
111,103,81
111,98,54
111,12,40
111,92,26
111,11,14
111,66,3
111,998,0
112,4,9109
112,2,5487
112,3,1808
112,41,1415
112,105,1253
112,75,1098
112,15,857
112,57,847
112,100,770
112,104,321
112,76,283
112,42,140
112,60,121
112,103,81
112,98,70
112,12,40
112,66,20
112,11,17
112,92,11
112,998,0
114,4,4053
114,2,2704
114,3,795
114,41,636
114,105,472
114,75,441
114,15,393
114,57,392
114,100,328
114,104,160
114,76,114
114,60,60
114,42,57
114,103,30
114,98,27
114,12,20
114,92,7
114,11,4
114,66,4
114,998,0
143,4,2171
143,2,1400
143,3,494
143,75,379
143,105,377
143,41,304
143,57,234
143,100,215
143,15,214
143,104,79
143,76,68
143,12,31
143,60,30
143,42,23
143,98,17
143,103,14
143,92,7
143,11,3
143,66,0
143,998,0
117,4,9953
117,2,8189
117,3,2105
117,105,1639
117,41,1544
117,75,1517
117,57,1102
117,15,1050
117,100,1005
117,104,399
117,76,249
117,42,160
117,60,159
117,103,91
117,98,76
117,12,41
117,92,32
117,11,13
117,66,6
117,998,0
118,4,13897
118,2,8902
118,3,2812
118,75,2112
118,105,1957
118,41,1909
118,15,1382
118,57,1372
118,100,1254
118,104,502
118,76,485
118,60,237
118,42,154
118,103,101
118,12,100
118,98,98
118,92,48
118,11,9
118,66,9
118,998,0
121,4,5687
121,2,3144
121,3,1728
121,41,950
121,105,665
121,75,561
121,15,547
121,100,502
121,57,466
121,104,178
121,76,103
121,42,72
121,60,58
121,98,35
121,103,27
121,12,18
121,92,11
121,11,3
121,66,2
121,998,0
133,4,5094
133,2,2921
133,3,1103
133,41,783
133,105,577
133,75,576
133,15,491
133,57,482
133,100,434
133,104,170
133,76,129
133,60,75
133,42,53
133,98,43
133,103,39
133,12,21
133,92,17
133,11,10
133,66,3
133,998,0
134,4,1894
134,2,1495
